,comment,sentiment,positive,negative
335,"<a class=""tit_txt"" href=""https://gall.dcinside.com/mgallery/board/view/?id=aoegame&amp;no=19564264"" target=""_blank"">근데 중국에서 보추탄압하는거 좀 게이같은 발상같음</a>",Negative,0.10152572393417358,0.8984742760658264
345,"<a class=""tit_txt"" href=""http://gall.dcinside.com/board/view/?id=depression&amp;no=531080"" target=""_blank"">555 <b>그루밍족</b>이냐</a>",Negative,0.13509279489517212,0.8649072647094727
354,"<a class=""tit_txt"" href=""http://gall.dcinside.com/board/view/?id=etc_entertainment3&amp;no=107121"" target=""_blank"">야 솔직히 해슘주고 뭐고 그새끼 눈화장 존나 구려</a>",Negative,0.06864037364721298,0.9313596487045288
359,요즘 남자들은 그루밍족이 많대요,Negative,0.12885716557502747,0.8711428046226501
360,나 그루밍족이야.,Negative,0.02814074419438839,0.9718592762947083
361,쥐실험으로 미리 본 헬조선 ㄹㅇ...,Negative,0.007716693449765444,0.992283284664154
362,이게 그루밍족인가 그거냐?,Negative,0.001909982762299478,0.9980900287628174
364,조선 인생 메타가 오늘 기점으로 확실히 바뀜,Negative,0.07578427344560623,0.9242157340049744
366,결국 정답은 자기한테 투자해서 유사알파메일 되는거네,Negative,0.028625307604670525,0.9713746309280396
367,ㄹㅇ그루밍족 극혐 ㅇ,Negative,0.055960703641176224,0.9440393447875977
368,트레이딩하고 생활이 나아지니까,Negative,0.11685216426849365,0.8831478357315063
370,김생민 그루밍족 저 남자 진짜 무이자의 늪이 쩔어 ㅋㅋㅋㅋㅋ,Negative,0.05486593768000603,0.9451340436935425
371,떡고 화장품 사업도 함?,Negative,0.014456220902502537,0.9855437874794006
375,나도 그루밍족 할거야,Negative,0.1350327879190445,0.8649672269821167
376,그루밍족 능성수,Negative,0.08164280652999878,0.9183571934700012
380,그루밍족 되기 vs 그루트족 되기,Negative,0.10714290291070938,0.8928571343421936
381,정재홍 ㅈㄴ 그루밍족이네,Negative,0.02575434185564518,0.9742456674575806
382,그루밍족 어감 너무 별로인거같음,Negative,0.0026261399034410715,0.9973738789558411
385,"1320마리 600일 : 2200마리정도 정점 이후 감소 1800일 : 멸종 1) 짝짓기 포기, 초식형 쥐 증가 (그루밍족) 2) 암컷쥐 출산과 육아 포기(여성 지위 상승) 3) 독신 증가 (연애 포기, 주거 경쟁 포기) 4) 동성애...",Negative,0.015355574898421764,0.9846444129943848
386,매일 눈썹정리를 하네,Negative,0.0152489198371768,0.9847511053085327
